record,date,status,qtime,start_date,age,gender,zipcode,fylke2024,kommune2024,landsdel2024,age_group,age_group2,_v1,_v2,_v3,_v4,_v5,_v6,_v7,_v8,_v9,_v10,Q1r10oe,_v11,_v12,_v13,_v14,_v15,_v16,_v17,_v18,_v19,_v20,_v21,_v22,_v23,_v24,Q2r13oe,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q13b,Q14r1,_v25,_v26,_v27,_v28,_v29,_v30,_v31,_v32,_v33,_v34,_v35,_v36,_v37,_v38,_v39,_v40,_v41,_v42,_v43,_v44,_v45,_v46,_v47,_v48,_v49,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,_v50,_v51,_v52,_v53,_v54,_v55,_v56,_v57,_v58,_v59,_v60,_v61,_v62,_v63,_v64,_v65,_v66,_v67,_v68,_v69,_v70,_v71,_v72,_v73,_v74,_v75,_v76,_v77,_v78,_v79,_v80,_v81,_v82,_v83,_v84,_v85,_v86,_v87,_v88,_v89,_v90,_v91,_v92,_v93,_v94,_v95,_v96,_v97,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q26,Q27,Q27r11oe,Q27b,Q27br8oe,Q27c,Q30_desktop,Q30_mobile,Q30,Q31,Q32,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r10,Q33r11,Q33r12,Q34_1,Q34_2,Q35_1,Q35_2,Q36,Q37,Q37r99oe,Q38,Q39,Q40,Q40r21oe,Q41,Q42r1,_v98,UniqueID,non_respondent,educationLevel,personal_income
1892,05/05/2025 10:38,Qualified,447.876,05/05/2025 10:30,40,Mann,2317,Innlandet,Hamar,Østlandet,40-49,40-49,Vern av natur & biologisk mangfold,Not selected,Not selected,Not selected,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,25 dager eller mer,Ja,Nei,,Vet ikke,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Q17_15,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Q17_22,Q17_23,Q17_24,,,,Utbygging,,,,,,,,Ingen utbygging,,Ingen utbygging,Utbygging,,,,Utbygging,,,Ingen utbygging,Utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Q17_24,2,4,5,2,2,7 Svært viktig,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,20% vind 80% sol,,20% vind 80% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,3,2,7 Generell stor negativ innvirkning,6,6,4 Nøytral,5,6,7 Generell stor negativ innvirkning,3,7 Generell stor negativ innvirkning,10 000 kr,,5000 kr,,Nei,Ja,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,800 001 – 1 000 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1890,05/05/2025 10:18,Qualified,1644.436,05/05/2025 09:51,62,Mann,2653,Innlandet,Gausdal,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Not selected,Utdanning & forsking,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",6,Ikke i det hele tatt,Nei,Nei,40000,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Q17_7,Q17_8,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Q17_23,Q17_24,,,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,,,,,Utbygging,,,,,Ingen utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Q17_7,Q17_8,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Q17_24,5,5,7 Svært viktig,3,2,4,7 Svært vanskelig,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,60% vind 40% sol,,60% vind 40% sol,6,"Ja, vi må ikke redusere disse arealene",5,5,5,5,6,4 Nøytral,4 Nøytral,4 Nøytral,3,4 Nøytral,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Vet ikke,1 600 001 – 1 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1889,05/05/2025 09:20,Qualified,1920.073,05/05/2025 08:48,50,Mann,2611,Innlandet,Lillehammer,Østlandet,50-99,50-59,Vern av natur & biologisk mangfold,Not selected,Not selected,Not selected,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,4 Nøytral,Nei,"Flere, mindre anlegg med færre turbiner per anlegg",6,Ikke i det hele tatt,Nei,Nei,20000,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Q17_6,Not selected,Q17_8,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Not selected,,Utbygging,,,,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,,Utbygging,,Utbygging,,,,Ingen utbygging,,,,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_6,Not selected,Q17_8,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Not selected,4,3,7 Svært viktig,7 Svært viktig,6,4,5,,,,,Jeg er usikker,40% vind 60% sol,,40% vind 60% sol,4,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,6,7 Generell stor negativ innvirkning,6,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,6,6,6,5,7 Generell stor negativ innvirkning,Vet ikke,,Vet ikke,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Vet ikke,800 001 – 1 000 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1806,05/05/2025 09:12,Qualified,864.025,05/04/2025 17:02,23,Kvinne,2864,Innlandet,Søndre Land,Østlandet,Less than 30,18-29,Not selected,Klimatiltak (utslippsreduksjoner & tilpasning),Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Ja,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Q17_1,Not selected,Q17_3,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Not selected,Not selected,Not selected,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Not selected,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,,,,,,Ingen utbygging,Ingen utbygging,,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Q17_3,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Not selected,Not selected,Not selected,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Not selected,5,2,7 Svært viktig,5,6,3,1 Svært lett,Det burde ikke bygges mer landbasert vindkraft i Norge,,,,"Jeg støtter ikke vindkraftutbygging, uansett lokasjon",,0% vind 100% sol,0% vind 100% sol,6,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,5,4 Nøytral,5,4 Nøytral,7 Generell stor negativ innvirkning,4 Nøytral,5,5,6,4 Nøytral,2,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Ja,,Videregående skole/gymnas,"Ja, vi eier arealer der det er eller kan bli aktuelt å bygge kraftverk",Vet ikke,,Ganske sikker,"Norge har nok kraft til å berge oss selv, gjennom vannkraft. Vindkraft er ikke veien å gå, det ødelegger natur, og krever voldsomme inngrep.   Jeg støtter heller atomkraftverk, med dagens teknologi er jeg sikker på at det er mye tryggere og et mindre inngrep enn vindkraftverk. Og når det gjelder solceller, så er jeg veldig for å montere dette på tak og bygninger. Men å bruke natur der man produerer skog el, til å dekke til med solceller, set synes jeg er helt unødvendig. Jeg tror det er mye man kan få ut av å investere i de eksisterende vannkraftverkene vi allerede har!",Not selected,,,,
1887,05/05/2025 08:33,Qualified,1514.451,05/05/2025 08:07,74,Mann,2608,Innlandet,Lillehammer,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Asyl & integrering,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,3,Nei,Vet ikke,5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Not selected,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,,Ingen utbygging,Utbygging,Utbygging,Ingen utbygging,Utbygging,,Utbygging,,,,Ingen utbygging,,Ingen utbygging,,,,,,,,,Not selected,Not selected,Not selected,Not selected,Q17_5,Q17_6,Not selected,Q17_8,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,5,3,5,4,5,5,,,,,Jeg ville vært mer positiv hvis anlegget ble bygget i en nabokommune i stedet for min egen,20% vind 80% sol,,20% vind 80% sol,4,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,3,4 Nøytral,5,6,6,3,3,5,6,3,6,Vet ikke,,Vet ikke,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,600 001 – 800 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
1888,05/05/2025 08:31,Qualified,276.574,05/05/2025 08:26,27,Kvinne,2320,Innlandet,Ringsaker,Østlandet,Less than 30,18-29,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Vet ikke,,Nei,4 Nøytral,Ja,Vet ikke,4 Nøytral,Vet ikke,Vet ikke,Vet ikke,,Vet ikke,Q17_1,Not selected,Not selected,Q17_4,Q17_5,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Q17_13,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,Ingen utbygging,,,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,,,,,Ingen utbygging,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Q17_4,Q17_5,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Q17_13,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,4,4,4,4,4,4,3,Vet ikke,,,,Jeg er usikker,,60% vind 40% sol,60% vind 40% sol,3,Vet ikke,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,Videregående skole/gymnas,Vet ikke,Vet ikke,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1854,05/05/2025 01:15,Qualified,1075.484,05/05/2025 00:57,69,Mann,2640,Innlandet,Nord-Fron,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Ja,Vet ikke,7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Q17_1,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Q17_23,Q17_24,Ingen utbygging,,Ingen utbygging,,,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,,,,,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Q17_23,Q17_24,7 Svært viktig,7 Svært viktig,7 Svært viktig,6,6,2,1 Svært lett,Kraften blir uansett eksportert som gir oss høyere strømpriser,,,,"Jeg støtter ikke vindkraftutbygging, uansett lokasjon",0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,5,5,5,4 Nøytral,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,1 Generell liten negativ innvirkning,5,7 Generell stor negativ innvirkning,4 Nøytral,6,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Nei,,Fagbrev,Nei,200 001 – 400 000 kr,,Veldig sikker,,"Nei, ingen ekstra kommentarer",,,,
1821,05/05/2025 00:54,Qualified,1226.011,05/05/2025 00:33,69,Mann,2817,Innlandet,Gjøvik,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Bygge ut mer landbasert vindkraft i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Ja,7 Svært positiv,Nei,"Flere, mindre anlegg med færre turbiner per anlegg",1 Ikke bekymret,Ikke i det hele tatt,Nei,Nei,36000,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_13,Not selected,Q17_15,Not selected,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Not selected,Not selected,Not selected,,Utbygging,,,,,,,,,,,Utbygging,,Utbygging,,Utbygging,Utbygging,Utbygging,Utbygging,Utbygging,,,,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_13,Not selected,Q17_15,Not selected,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,1 Ikke viktig i det hele tatt,3,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,1 Svært lett,,,Jeg vil ha lavere strømkostnad,,Min holdning ville vært den samme uansett hvor anlegget bygges,,80% vind 20% sol,80% vind 20% sol,1 Ikke viktig i det hele tatt,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",1 Generell liten negativ innvirkning,4 Nøytral,1 Generell liten negativ innvirkning,5,4 Nøytral,5,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,4 Nøytral,3,1 Generell liten negativ innvirkning,4 Nøytral,Jeg er for utbygging uansett,,Jeg er for utbygging uansett,,Nei,Nei,,Videregående skole/gymnas,Nei,200 001 – 400 000 kr,,Veldig usikker,Vi må øke strømproduksjonen og sende mindre utenlands. Vi må få tilbake normale strømpriser !,Not selected,,,,
1813,05/04/2025 22:21,Qualified,747.831,05/04/2025 22:08,31,Mann,2208,Innlandet,Kongsvinger,Østlandet,30-39,30-39,Not selected,Klimatiltak (utslippsreduksjoner & tilpasning),Not selected,Not selected,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Ja,5,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",6,Ikke i det hele tatt,Nei,Nei,25000,Not selected,Not selected,Q17_2,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Q17_18,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,,Ingen utbygging,,Ingen utbygging,,,,Ingen utbygging,Utbygging,,Utbygging,,,,,,Utbygging,Ingen utbygging,,,,,Utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,Not selected,Q17_2,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,6,5,6,7 Svært viktig,1 Ikke viktig i det hele tatt,6,5,,,,,Jeg ville vært mer positiv hvis anlegget ble bygget i en nabokommune i stedet for min egen,,80% vind 20% sol,80% vind 20% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",3,3,4 Nøytral,5,7 Generell stor negativ innvirkning,5,4 Nøytral,4 Nøytral,5,6,4 Nøytral,7 Generell stor negativ innvirkning,10 000 kr,,8000 kr,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,1 000 001 – 1 200 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1812,05/04/2025 19:56,Qualified,1290.225,05/04/2025 19:34,31,Mann,1008,Oslo,Oslo,Oslo,30-39,30-39,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,5,Nei,"Flere, mindre anlegg med færre turbiner per anlegg",3,Ikke i det hele tatt,Nei,Nei,10000,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Not selected,Q17_22,Not selected,Q17_24,Utbygging,,,,Utbygging,,Utbygging,,,Utbygging,,,,Utbygging,,,,,,Utbygging,,Utbygging,,Utbygging,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Not selected,Q17_22,Not selected,Q17_24,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,5,5,5,5,5,5,,,Jeg visste ikke hvilket alternativ jeg skulle velge,,Jeg ville vært mer negativ hvis anlegget ble bygget i en annen del av landet,80% vind 20% sol,,80% vind 20% sol,4,Nei,5,6,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,3,4 Nøytral,4 Nøytral,3,4 Nøytral,4 Nøytral,1 Generell liten negativ innvirkning,5,Vet ikke,,Vet ikke,,Nei,Nei,,Usikker/vet ikke,Nei,Ønsker ikke å oppgi,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1811,05/04/2025 18:56,Qualified,1000.522,05/04/2025 18:39,42,Kvinne,2319,Innlandet,Hamar,Østlandet,40-49,40-49,Vern av natur & biologisk mangfold,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Geotermisk kraft&nbsp;,Not selected,Not selected,Not selected,Not selected,Not selected,,Vet ikke,1 Svært negativ,Ja,Vet ikke,7 Svært bekymret,Vet ikke,Nei,Nei,800,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Q17_15,Q17_16,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Not selected,,,Ingen utbygging,,,Ingen utbygging,,,,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Q17_15,Q17_16,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Not selected,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,7 Svært viktig,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Svært lett,"Andre årsaker, vennligst spesifiser:",Vindturbiner ødelgger naturen og dreper fuglene som er truet,,,"Jeg støtter ikke vindkraftutbygging, uansett lokasjon",,0% vind 100% sol,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,4 Nøytral,1 Generell liten negativ innvirkning,6,4 Nøytral,5,4 Nøytral,5,4 Nøytral,3,5,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,"Annet, vennligst spesifiser",Var medlem i Regnskogfondet,Videregående skole/gymnas,Vet ikke,Ønsker ikke å oppgi,,Ganske usikker,Ville heller ha om vannkraft hvor jeg er mer positiv. Var ett sted i undersøkelsen hvor man ga hvor mye prosent man ville satse på sol eller vind hva med vann???,Not selected,,,,
