record,date,qtime,start_date,status,age,gender,zipcode,fylke2024,kommune2024,landsdel2024,age_group,age_group2,_v1,_v2,_v3,_v4,_v5,_v6,_v7,_v8,_v9,_v10,Q1r10oe,_v11,_v12,_v13,_v14,_v15,_v16,_v17,_v18,_v19,_v20,_v21,_v22,_v23,_v24,Q2r13oe,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q13b,Q14r1,_v25,_v26,_v27,_v28,_v29,_v30,_v31,_v32,_v33,_v34,_v35,_v36,_v37,_v38,_v39,_v40,_v41,_v42,_v43,_v44,_v45,_v46,_v47,_v48,_v49,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,_v50,_v51,_v52,_v53,_v54,_v55,_v56,_v57,_v58,_v59,_v60,_v61,_v62,_v63,_v64,_v65,_v66,_v67,_v68,_v69,_v70,_v71,_v72,_v73,_v74,_v75,_v76,_v77,_v78,_v79,_v80,_v81,_v82,_v83,_v84,_v85,_v86,_v87,_v88,_v89,_v90,_v91,_v92,_v93,_v94,_v95,_v96,_v97,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q26,Q27,Q27r11oe,Q27b,Q27br8oe,Q27c,Q30_desktop,Q30_mobile,Q30,Q31,Q32,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r10,Q33r11,Q33r12,Q34_1,Q34_2,Q35_1,Q35_2,Q36,Q37,Q37r99oe,Q38,Q39,Q40,Q40r21oe,Q41,Q42r1,_v98,UniqueID,non_respondent,educationLevel,personal_income
1259,04/28/2025 07:07,409.952,04/25/2025 16:11,Qualified,44,Kvinne,2319,Innlandet,Hamar,Østlandet,40-49,40-49,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Varmekraft,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Nei,7 Svært positiv,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Not selected,Q17_12,Q17_13,Q17_14,Not selected,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,,,Utbygging,,,,Ingen utbygging,Utbygging,,,,Ingen utbygging,Utbygging,Utbygging,,Utbygging,,,Ingen utbygging,,,,,,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Q17_13,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,4,7 Svært viktig,4,6,7 Svært viktig,6,3,,,,,Jeg ville vært mer positiv hvis anlegget ble bygget i en nabokommune i stedet for min egen,,60% vind 40% sol,60% vind 40% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",5,7 Generell stor negativ innvirkning,2,5,3,4 Nøytral,6,3,5,3,4 Nøytral,5,10 000 kr,,10 000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,1 600 001 – 1 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
805,04/19/2025 22:58,1976.324,04/19/2025 22:24,Qualified,71,Kvinne,2230,Innlandet,Eidskog,Østlandet,50-99,60+,Vern av natur & biologisk mangfold,Not selected,Not selected,Not selected,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Not selected,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,3,Ja,"Flere, mindre anlegg med færre solcellepaneler per anlegg",5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Q17_3,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Q17_24,,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,,,Ingen utbygging,,,Ingen utbygging,,,,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Q17_24,4,4,5,5,5,2,7 Svært vanskelig,"Andre årsaker, vennligst spesifiser:","Vanskelig å gjøre seg opp en mening, når en ikke vet hva det neste alternativet er.",,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,5,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,4 Nøytral,6,6,4 Nøytral,5,5,4 Nøytral,4 Nøytral,100 000 kr,,0,,Nei,Ja,,Videregående skole/gymnas,Nei,200 001 – 400 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
1505,04/28/2025 09:55,999.903,04/28/2025 09:38,Qualified,60,Mann,2208,Innlandet,Kongsvinger,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Politi & forsvar,Asyl & integrering,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,5,Vet ikke,Vet ikke,5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Q17_8,Q17_9,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Q17_20,Q17_21,Not selected,Not selected,Not selected,,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,,,,Ingen utbygging,,Ingen utbygging,,,Ingen utbygging,Ingen utbygging,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Q17_8,Q17_9,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Q17_20,Q17_21,Not selected,Not selected,Not selected,3,3,3,3,3,7 Svært viktig,7 Svært vanskelig,"Andre årsaker, vennligst spesifiser:",For lite reduksjon av strømregning,,,Min holdning ville vært den samme uansett hvor anlegget bygges,20% vind 80% sol,,20% vind 80% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,5,5,5,3,6,4 Nøytral,4 Nøytral,6,6,5,3,10 000 kr,,10 000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Vet ikke,600 001 – 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1518,04/28/2025 10:50,1060.39,04/28/2025 10:31,Qualified,66,Mann,2960,Innlandet,Vestre Slidre,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Not selected,Not selected,Samferdsel & annen infrastruktur,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,3,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",5,Ikke i det hele tatt,Nei,Nei,20000,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Q17_6,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Q17_21,Q17_22,Not selected,Q17_24,,Ingen utbygging,,,,Ingen utbygging,,Ingen utbygging,,,,Ingen utbygging,,,,,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Q17_6,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Q17_21,Q17_22,Not selected,Q17_24,4,6,1 Ikke viktig i det hele tatt,7 Svært viktig,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Svært lett,Jeg synes ikke Norge skal være et grønt batteri for Europa,,,,"Jeg støtter ikke solkraftutbygging, uansett lokasjon",,20% vind 80% sol,20% vind 80% sol,4,Nei,7 Generell stor negativ innvirkning,5,1 Generell liten negativ innvirkning,3,3,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,4 Nøytral,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,Mer enn 150 000 kr,9,Mer enn 150 000 kr,20000000,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,800 001 – 1 000 000 kr,,Veldig usikker,"Bygg ut å forny vannkraftanlegg, da har vi mer enn nokk kraft.",Not selected,,,,
1292,04/25/2025 23:47,3958.859,04/25/2025 22:41,Qualified,72,Kvinne,2651,Innlandet,Gausdal,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Varmekraft,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Vet ikke,4 Nøytral,Nei,Vet ikke,4 Nøytral,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_10,Not selected,Not selected,Q17_13,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Q17_20,Not selected,Q17_22,Q17_23,Q17_24,,,Ingen utbygging,,,,,,,Ingen utbygging,,,Ingen utbygging,,,,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,Ingen utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_10,Not selected,Not selected,Q17_13,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Q17_20,Not selected,Q17_22,Q17_23,Q17_24,4,4,4,4,4,6,7 Svært vanskelig,"Andre årsaker, vennligst spesifiser:",Såg ikke kortene,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,4 Nøytral,2,5,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,Videregående skole/gymnas,Vet ikke,Ønsker ikke å oppgi,,Veldig usikker,Vanskelig å velge.  Det var liten tekst som e itte klarte  se og fikk ikke forstørret opp.,Not selected,,,,
830,04/20/2025 10:34,860.657,04/20/2025 10:19,Qualified,70,Mann,2860,Innlandet,Søndre Land,Østlandet,50-99,60+,Vern av natur & biologisk mangfold,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,5,Ja,Vet ikke,6,Ikke i det hele tatt,Nei,Nei,15000,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Q17_8,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Q17_15,Q17_16,Not selected,Q17_18,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,Ingen utbygging,,,,Ingen utbygging,,,Utbygging,,Utbygging,,,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_8,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Q17_16,Not selected,Q17_18,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,5,5,6,6,4,4,6,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,20% vind 80% sol,20% vind 80% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,6,2,7 Generell stor negativ innvirkning,6,7 Generell stor negativ innvirkning,6,5,6,6,5,6,Mer enn 150 000 kr,180000,100 000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Vet ikke,Ønsker ikke å oppgi,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1664,04/29/2025 18:04,551.266,04/29/2025 17:54,Qualified,63,Kvinne,2750,Innlandet,Gran,Østlandet,50-99,60+,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,5,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Q17_14,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Q17_23,Not selected,,Utbygging,,,,,Utbygging,,,,,Utbygging,Utbygging,Utbygging,Utbygging,,,,,,,Utbygging,Utbygging,,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Q17_12,Q17_13,Q17_14,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Q17_23,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,4,4,4,4,4,4,7 Svært vanskelig,,,Jeg visste ikke hvilket alternativ jeg skulle velge,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,5,5,7 Generell stor negativ innvirkning,6,6,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,7 Generell stor negativ innvirkning,Vet ikke,,Vet ikke,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,600 001 – 800 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
1367,04/26/2025 12:40,619.684,04/26/2025 12:29,Qualified,38,Mann,2611,Innlandet,Lillehammer,Østlandet,30-39,30-39,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Bygge ut mer landbasert vindkraft i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",1 Ikke bekymret,Ikke i det hele tatt,Nei,Nei,24000,Not selected,Q17_1,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Q17_10,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Q17_24,Utbygging,,Utbygging,,,,,,Utbygging,Utbygging,,Utbygging,,,,,,,Utbygging,,Utbygging,,,Utbygging,Q17_1,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Q17_10,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Q17_24,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,6,5,5,6,6,6,3,,,Jeg vil ha lavere strømkostnad,,Min holdning ville vært den samme uansett hvor anlegget bygges,80% vind 20% sol,,80% vind 20% sol,2,Nei,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,5,5,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,2000 kr,,3000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,1 000 001 – 1 200 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1224,04/25/2025 10:45,699.798,04/25/2025 10:33,Qualified,45,Kvinne,2840,Innlandet,Vestre Toten,Østlandet,40-49,40-49,Vern av natur & biologisk mangfold,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,2,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",7 Svært bekymret,25 dager eller mer,Nei,Nei,,Vet ikke,Not selected,Not selected,Q17_3,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Q17_24,,,Ingen utbygging,Ingen utbygging,,,,,,,Ingen utbygging,,,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Q17_24,5,5,5,3,3,2,4,Jeg synes ikke Norge skal være et grønt batteri for Europa,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,0% vind 100% sol,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,6,5,5,3,6,4 Nøytral,4 Nøytral,4 Nøytral,5,5,6,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Ja,,Videregående skole/gymnas,"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",800 001 – 1 000 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
1213,04/25/2025 10:14,1080.338,04/25/2025 09:55,Qualified,61,Mann,2133,Innlandet,Nord-Odal,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,3,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",6,Ikke i det hele tatt,Nei,Nei,10000,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Q17_13,Q17_14,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,Utbygging,,,Ingen utbygging,,,,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,Utbygging,,,,,,,,Ingen utbygging,,Q17_1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Q17_13,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,4,4,6,7 Svært viktig,5,3,7 Svært vanskelig,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,0% vind 100% sol,,0% vind 100% sol,5,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,6,5,7 Generell stor negativ innvirkning,5,7 Generell stor negativ innvirkning,5,6,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,3,7 Generell stor negativ innvirkning,Mer enn 150 000 kr,200000,50 000 kr,,Nei,Nei,,Fagbrev,"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",200 001 – 400 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
607,04/17/2025 00:55,1438.362,04/16/2025 18:02,Qualified,53,Kvinne,2320,Innlandet,Ringsaker,Østlandet,50-99,50-59,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,4 Nøytral,Ja,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",4 Nøytral,Ikke i det hele tatt,Nei,Nei,15000,Not selected,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Not selected,,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,,,Utbygging,,,,Ingen utbygging,,Ingen utbygging,,,,,Ingen utbygging,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Not selected,4,4,4,4,4,4,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,0% vind 100% sol,0% vind 100% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",3,3,4 Nøytral,3,4 Nøytral,3,3,3,3,4 Nøytral,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,Videregående skole/gymnas,Nei,1 400 001 – 1 600 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
2497,05/08/2025 19:11,663.763,05/08/2025 18:59,Qualified,57,Kvinne,2640,Innlandet,Nord-Fron,Østlandet,50-99,50-59,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Vet ikke,5,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",5,25 dager eller mer,Nei,Nei,35000,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_13,Q17_14,Not selected,Not selected,Q17_17,Not selected,Not selected,Q17_20,Not selected,Q17_22,Not selected,Not selected,Utbygging,,,,Ingen utbygging,,Ingen utbygging,,,,,,Utbygging,Utbygging,,,Ingen utbygging,,,Ingen utbygging,,Utbygging,,,Q17_1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_13,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,4,2,6,3,2,2,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,0% vind 100% sol,,0% vind 100% sol,6,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,4 Nøytral,2,5,3,5,2,2,2,4 Nøytral,2,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Ja,,3-4-årig universitetsutdanning (bachelor/cand.mag.),"Ja, vi kan bli påvirket gjennom jobb i turistnæringen",1 200 001 – 1 400 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
